symbol,name,price,exchange,exchangeShortName,type
FER.WA,Ferrum S.A.,4.36,Warsaw Stock Exchange,WSE,stock
VINATIORGA.BO,Vinati Organics Limited,1498.45,Bombay Stock Exchange,BSE,stock
MSTCLTD.NS,MSTC Limited,900.8,National Stock Exchange of India,NSE,stock
MTDR,Matador Resources Company,66.93,New York Stock Exchange,NYSE,stock
SHANTIGEAR.NS,Shanthi Gears Limited,559.15,National Stock Exchange of India,NSE,stock
COMPUSOFT.NS,Compucom Software Limited,26.4,National Stock Exchange of India,NSE,stock
AIAENG.NS,AIA Engineering Limited,4023.8,National Stock Exchange of India,NSE,stock
6327.T,"Kitagawa Seiki Co.,Ltd.",769.0,Tokyo,JPX,stock
GLAND.BO,Gland Pharma Limited,1788.75,Bombay Stock Exchange,BSE,stock
SOBHA.BO,Sobha Limited,1567.8,Bombay Stock Exchange,BSE,stock
SCOP.TA,Scope Metals Group Ltd.,12820.0,Tel Aviv,TLV,stock
VILN.SW,Villars Holding S.A.,670.0,Swiss Exchange,SIX,stock
001914.SZ,"China Merchants Property Operation & Service Co., Ltd.",10.29,Shenzhen,SHZ,stock
PTXKY,PT XL Axiata Tbk,2.74,Other OTC,PNK,stock
6239.TW,Powertech Technology Inc.,191.0,Taiwan,TAI,stock
JCPB,JPMorgan Core Plus Bond ETF,46.1,BATS,ETF,etf
DINO,HF Sinclair Corporation,61.18,New York Stock Exchange,NYSE,stock
3MINDIA.NS,3M India Limited,30277.65,National Stock Exchange of India,NSE,stock
TDPOWERSYS.NS,TD Power Systems Limited,306.45,National Stock Exchange of India,NSE,stock
CNYA.L,iShares MSCI China A UCITS ETF,4.198,London Stock Exchange,LSE,etf
ASAHIINDIA.NS,Asahi India Glass Limited,563.0,National Stock Exchange of India,NSE,stock
BY.CN,Beyond Minerals Inc.,0.135,Canadian Securities Exchange,CNQ,stock
SPED.L,Invesco Markets II plc - Invesco S&P 500 Equal Weight UCITS ETF,53.00909,London Stock Exchange,LSE,etf
VENUSREM.NS,Venus Remedies Limited,347.7,National Stock Exchange of India,NSE,stock
MING.OL,SpareBank 1 SMN,138.0,Oslo Stock Exchange,OSL,stock
CRISIL.BO,CRISIL Limited,4894.8,Bombay Stock Exchange,BSE,stock
HINDALCO.BO,Hindalco Industries Limited,571.25,Bombay Stock Exchange,BSE,stock
ASIANENE.BO,Asian Energy Services Limited,275.35,Bombay Stock Exchange,BSE,stock
LVO.MI,Lyxor S&P 500 VIX Futures Enhanced Roll UCITS ETF,1.276,Milan,EURONEXT,etf
XB4A.DE,Xtrackers ATX UCITS ETF,66.72,Frankfurt Stock Exchange,XETRA,etf
WINKF,Windfall Geotek Inc.,0.026,Other OTC,PNK,stock
PWSC,"PowerSchool Holdings, Inc.",20.74,New York Stock Exchange,NYSE,stock
